Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,177.8,182.9,177.7,182.0,181.8,104487900
2022-01-04,182.6,182.9,179.1,179.7,179.5,99310400
2022-01-05,179.6,180.2,174.6,174.9,174.7,94537600
2022-01-06,172.7,175.3,171.6,172.0,171.8,96904000
2022-01-07,172.9,174.1,171.0,172.2,172.0,86580100
2022-01-10,169.1,172.5,168.2,172.2,172.0,106765600
2022-01-11,172.3,175.2,170.8,175.1,174.9,76138300
2022-01-12,176.1,177.2,174.8,175.5,175.3,74805200
2022-01-13,175.8,176.6,171.8,172.2,172.0,84505800
2022-01-14,171.3,173.8,171.1,173.1,172.8,80355000
2022-01-18,171.5,172.5,169.4,169.8,169.6,90956700
