Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,2889.5,2911.0,2870.1,2901.5,2901.5,1260700
2022-01-04,2911.0,2932.2,2876.3,2888.3,2888.3,1146400
2022-01-05,2883.6,2886.0,2750.5,2753.1,2753.1,2482100
2022-01-06,2749.9,2793.7,2735.3,2751.0,2751.0,1452500
2022-01-07,2758.1,2765.1,2715.8,2740.1,2740.1,970100
2022-01-10,2702.0,2772.8,2662.8,2771.5,2771.5,1704800
2022-01-11,2763.6,2806.6,2736.3,2800.4,2800.4,1175100
2022-01-12,2831.1,2856.3,2822.2,2833.0,2833.0,1182100
2022-01-13,2836.8,2863.7,2778.3,2782.6,2782.6,1328300
2022-01-14,2750.0,2824.0,2750.0,2795.7,2795.7,1190700
2022-01-18,2732.0,2747.8,2712.3,2725.8,2725.8,1369100
