Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,134.1,136.3,133.6,136.0,136.0,4605900
2022-01-04,136.1,139.9,135.9,138.0,138.0,7300000
2022-01-05,138.3,142.2,137.9,138.2,138.2,8956900
2022-01-06,138.2,138.4,132.5,135.3,135.3,9908100
2022-01-07,134.9,135.7,133.5,134.8,134.8,5235900
2022-01-10,134.5,136.2,133.4,135.0,135.0,5432800
2022-01-11,130.5,133.2,128.0,132.9,132.9,11105300
2022-01-12,133.2,134.5,131.4,133.6,133.6,5352000
2022-01-13,133.9,136.1,133.6,134.8,134.8,4868300
2022-01-14,134.6,135.1,133.3,134.2,134.2,5309200
2022-01-18,132.9,133.9,131.8,132.9,132.9,5246700
