Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,335.4,338.0,329.8,334.8,334.8,28865100
2022-01-04,334.8,335.2,326.1,329.0,329.0,32674300
2022-01-05,325.9,326.1,316.0,316.4,316.4,40054300
2022-01-06,313.1,318.7,311.5,313.9,313.9,39646100
2022-01-07,314.1,316.5,310.1,314.0,314.0,32674000
2022-01-10,309.5,314.7,304.7,314.3,314.3,44289500
2022-01-11,313.4,316.6,309.9,315.0,315.0,29386800
2022-01-12,319.7,323.4,317.1,318.3,318.3,34372200
2022-01-13,320.5,320.9,304.0,304.8,304.8,45366000
2022-01-14,304.2,310.8,303.8,310.2,310.2,39823500
2022-01-18,304.1,309.8,301.7,302.6,302.6,42333200
